Column1,Column4,Column5,Column6,,
01J4HXCTFHD7J91N7T6KBCHM5D,SENDER_CUSTOMER,Can you?,,,
01J4HXCTFHD7J91N7T6KBCHM5D,SENDER_AGENT,"Corporate store, ma'am Fo of PSG.",,,
01J4HXCTFHD7J91N7T6KBCHM5D,SENDER_CUSTOMER,"Can you can you say that again, please.",,,
01J4HXCTFHD7J91N7T6KBCHM5D,SENDER_CUSTOMER,OK.,,,
01J4HXCTFHD7J91N7T6KBCHM5D,SENDER_CUSTOMER,"Alright, and how do I know if it's a corporate store.",,,
01J4HXCTFHD7J91N7T6KBCHM5D,SENDER_AGENT,ok you need to go to uh the PSG corporate store with a valid i d and this certificate,,,
01J4HXCTFHD7J91N7T6KBCHM5D,SENDER_AGENT,ok maybe you can go through your nearest store,,,
01J4HXCTFHD7J91N7T6KBCHM5D,SENDER_CUSTOMER,I mean there's a million around me. I'm not gonna go from the store to store.,,,
01J4HXCTFHD7J91N7T6KBCHM5D,SENDER_AGENT,And they can help you with that.,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,siete,"Customer called to report internet connectivity issues for the second time. Agent offered a free technician visit to check the wiring and replace the modem if necessary. An appointment was scheduled for Friday, and steps were taken to address a previous concern regarding a contract. Customer has an upcoming technician visit scheduled and will receive assistance regarding a previous contract issue.",,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,hola bienvenido al departamento de lealtad de PSG mi nombre es juan con quién tengo el gusto hablar el día de hoy,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,ocho o la buenas tardes habla con javier,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,gusto señor javier dígame en qué le puedo servir,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,estoy llamando por mi internet que no no no hay internet se cortó no se se cayó la línea,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,okay más o menos cuánto es que usted está presentando este problema,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,pues ya va en la segunda vez que presenta ese problema ya internet,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,okay gracias por ello entonces bueno me puede dar por favor el número de teléfono asociado la cuenta o el número de cuenta para verificar qué es lo que está pasando y pues por le solucionar,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,así es sí,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,ocho tres dos tres siete dos cinco cinco nueve dos,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,javier,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,listo y me puede corroborar nombre y apellido el dueño de la cuenta y la clave de {voice.ssn.digitsTranscribed:******} números por favor,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,muchas gracias,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,la clave es el {voice.ssn.digitsTranscribed:***********},,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,le dicen que le confirmo rápidamente es el número {voice.ssn.digitsTranscribed:**** ******* * *** **** ******* * *** ********* * ***** ******* * ***} y el correo bolívar de ciento {voice.ssn.digitsTranscribed:******** * }arroba gmail punto com un buen número y un buen correo para contactarle acerca de sus servicios con PSG ya sea por tarje de texto llamada o correo electrónico,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,muchas gracias y gracias también por estar con nosotros desde lo que fue inició el mes pasó permítame un minuto en línea ya verifico rápidamente qué fue lo que pasó,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,sí,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,muchas gracias por su amable espera línea bueno el otro que yo le iba preguntar en el momento en que usted nos llamó primero que yo también ya vi como la interacción de pronto usted le llegaron a hacer algún reseteo el módem o le ha llegado a enviar un técnico o un aparato nuevo para verificar que no haya sido algún problema instalación,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,que entonces en ese caso no se preocupe qué es lo que yo voy a hacer entonces hoy por qué porque en el momento como tal no me aparece que tenga como ningún tipo de avería es decir para mí pues por experiencia propia sí tiene que ser algún tipo de problema de que pronto algo este mal enchufado entonces yo le voy a lo que es un equipo y un técnico totalmente gratis no se los voy a cobrar por obvias razones para que para que él verifiqué todo el cableado que vea qué es lo que está pasando y está de ser necesario le reemplace el aparato porque pues de pronto ya con otro aparato que igual va a ser nuevo pues ya le pueda funcionar mejor que pues la verdad casi qué por no decir que en el cien por ciento de los casos y siempre cuando no envía lo que sí se técnico y el aparato ya una sola le resuelve porque porque la verdad sí no tiene como ningún sentido que no tenga bien el internet que se le caiga tanto,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,no yo nada más lo lo lo volví a conectar pero no,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,sí por favor,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,y se permítame solo un par de minutos más en línea por favor ya me comunico directamente con soporte técnico para poderte agendar la cita igual recuerda,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,sí,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,no importa si el técnico tiene que reemplazar no importa si tiene que quitar poner o hacer lo que sea no le pueden cobrar absolutamente nada,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,okay okay muy amable,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,señor javier me podría recordar la contraseña por favor,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,y,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,[PIN],,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,estoy hablando con ellos para encontrar la fecha más cercana,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,muchas gracias por su amable espera en línea señor javier bueno uh pues también si yo le quiero dar con una qué es lo que pasa si la están un poco,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,okay,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,por pues lo que usted conoce que pasó con el huracán por lo cual lo que son los técnicos sí están un poco es caso sin embargo pues obviamente entendido también como la situación y pues yo me comuniqué ya directamente con ese departamento pues pude conseguir una cita para lo que es el día viernes que sería el viernes veintiséis tengo dos horarios de doce a dos de la tarde o de dos a cuatro de la tarde si le podría funcionar esta fecha y este horario o ro de pronto lo requiere otro día tal vez un fin de semana,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,no más antes imagínate el viernes internet,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,sí,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,sí pues sería lo mismo si usted lo reinicia o sea si lo desconectó lo voy a conectar le volver a trabajar qué es lo que pasó o sea yo lo que hago es el envío el técnico para que para que el de verdad si pueda asesorar o sea perdón dejar corroborado que no hayan a seguir pasando esos problemas a futuro es porque pues obviamente una solución no es simplemente decirle no mira desconecta y vuelves a conectar porque la verdad eso no es una solución,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,entonces igual,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,sí,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,si le puedo agendar la cita para este viernes de doce a dos de la tarde o dos a cuatro de la tarde,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,listo,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,por favor,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,el técnico se a comunicar directamente con usted y le va a escribir o lo va a llamar para que usted sepa que en efecto el va a ir y que aparte también es una persona profesional por parte de PSG y no cualquier persona la que va a entrar a su casa,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,es permítame solo un minuto más en línea que ya también,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,le estoy dejando,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,sí,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,sí,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,m,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,registrada lo que es el técnico pues como las indicaciones de que verdad revise toda la conexión pues para verdad segurar sé que no le vaya a volver a presentar este problema,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,m,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,okay,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,m,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,m,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,el,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,lo,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,que,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,es,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,no,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,no no,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,no sé,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,la el,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,ese,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,gracias por su amable espera en línea permítame solo minuto más por favor,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,su amable espera en línea sigo trabajando por usted igual informo rápidamente pues,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,el,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,i,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,know un,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,i,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,know,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,i,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,es un pequeño error el sistema entonces pues ya estoy otras volviendo a montar toda la orden no se preocupe igual y sigo yo,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,muchas gracias por su amable espera en línea igual también le confirmo en el momento ya también tengo un monto otra vez la orden y sin embargo pues también como usted obviamente pues le agradece ayudarle lo más pronto posible porque pues igual de aquí al viernes también sí es un poquito lejitos tenga como revisando si también me dijo como corregir ese error desde aquí,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,was,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,y parece que sí porque incluso me está saliendo que es como un error de la línea que por lo tanto puede que requiera lo que un envío de aparato nuevo entonces sólo un par de minutos más que estoy verificando ver si te verdad puedo colaborar le más pronto posible,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,okay,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,okay pero básicamente si me dice como otra lo mismo pensé que sí lo puedo cómo arreglar más rápidamente pero no dice según una revisión de la cuenta puede enviar técnico sin cargo si puede aplicar cargos adicionales por cualquier solicitud que no esté relacionado con la red de PSG técnico discutir a sus cargos con usted antes de realizar cualquier trabajo a qué se refiere esto a que si por alguna razón pues usted dice como no es que quiero mover el módem uh al a tal lugar pues ahí sí le harían como hecho cargos pero pues obviamente eso no va a pasar sino que simplemente le van a dar regl r todo lo que es la conexión de acuerdo igual eso no le van a hacer ningún cargo,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,okay,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,gracias,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,sí,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,está,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,sí,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,aló,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,aló,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,sí,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,el,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,esto,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,sí,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,sí,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,gracias por su amable espera en línea ya me está cargando el envío,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,sí,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,sí,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,sí,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,okay aquí aquí pago,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,usted le hice el pago,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,de dónde,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,uh pero qué le está pagando pues,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,entiendo,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,uh cuánto fue de cuánto fue,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,ah ah tiene a la mano uh uh cómo se llama,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,ajá la cosa,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,es ajá entonces,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,okay pero okay,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,no uh,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,uh que no,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,uh que sí okay muchas gracias por su amable espera en línea ya me está cargando le envié,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,listo entonces al número que se puede comunicar el el técnico es el que termina en cincuenta y cinco noventa y dos verdad,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,sí,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,sí,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,sí,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,veintisiete cuarenta,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,sí,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,{voice.ssn.digitsTranscribed:******} números,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,gracias,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,y a,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,okay muchísimas gracias por su amable espera en línea uh yo también tonces si le puedo conseguir un poco más temprano o sea ahora va a ser por lo menos el jueves al menos es un día más,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,okay,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,tengo de {voice.ssn.digitsTranscribed:****} a {voice.ssn.digitsTranscribed:******} o de {voice.ssn.digitsTranscribed:****** ****} de la noche,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,{voice.ssn.digitsTranscribed:******},,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,eso gracias,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,igual mismo,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,él se va a comunicar directamente con usted recuerde que no le pueden cobrar absolutamente nada,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,y pues igual bueno un segundo y ahora sí igual también tonces de ser necesario le va a reemplazar el equipo sí l reemplazar el equipo y el mismo no se lleva el equipo anterior usted se tiene que hacer car una sucursal de fedex o de u p s para entregar el aparato no le van a cobrar nada por el envío y lo único que les va a decir es veo entregar un aparato de PSG y les va a dar su número de cuenta con nosotros usted con ese número o tiene para anotar y yo se lo puedo dar,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,okay,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,no,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,m,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,uh,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,pero se lo puedo dictar cierto,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,no bueno el número,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,bueno me dice cuando se lo puedo quitar,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,okay el número es tres treinta y cuatro,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,sí ya,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,cero cero nueve,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,ajá m,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,nueve cincuenta,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,tres treinta y cuatro cero cero nueve nueve cincuenta,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,okay correcto,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,y,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,recuerde que de,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,pues,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,okay,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,en efecto usted ya entregó la para,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,okay,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,sí,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,en un segundo más que,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,está sí permítame un minuto porque pues me está saliendo un error en el sistema otra vez ahorita un segundito,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,ya sería todo,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,okay muchas gracias por su amable espera línea sí bueno ya sé por qué salió error no sé porqué deja una fecha disponible para el jueves porque la cuenta es cuando uno lo manda si sale que no hay ninguna fecha disponible es más un error del sistema el,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,confirmo que entonces sería exactamente igual que antes sería el viernes de doce a dos y pues exactamente todo igual como se lo he hecho antes,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,también solo un segundo que ahora sí me salga la confirmación ya podemos sacar la llamada,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,no,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,dice entonces ahora sí entonces bueno que lo recibía sería usted cierto señor javier,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,esto gracias,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,sí,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,okay listo ya preguntar de pronto tiene algún tipo de no te especial en cuanto para acceder a la casa no sé tal vez un perro radio uso o algo por el o no es el caso,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,listo gracias,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,okay entonces ya básicamente por ahora sí pues resumir recuerde que la fecha entonces le envío a ser el día veintiséis de julio del dos mil veinticuatro que técnico entonces pues presentando la franja hora de que le dije y él se va a comunicar directamente con usted,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,no no nada,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,guardó,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,sí,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,es entonces en ese caso tal vez sería algo más con lo que yo le puedo colaborar el día de hoy o sería todo,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,tenía una pregunta yo tenía por ahí una tarjeta de regalo cuando yo hice el contrato pero me dijeron que {voice.creditcard.digitsTranscribed:***} semanas y nunca me llegaron,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,averiguar por eso,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,okay no te preocupes,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,okay,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,sí,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,que,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,no,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,no,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,no,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,no,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,no,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,no,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,no,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,la cuenta,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,porque el,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,que ver no,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,yo no,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,sé,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,qué,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,no,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,que,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_AGENT,sí voy a revisar qué es lo que está pasando con eso y ya te colaboró para enviarte,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,no no,,,
01J3DZKQQP31BD75HCV612HF0S,SENDER_CUSTOMER,no que,,,
